ID	ker	kas	lan	time	ammN	nitN	liuN	Smgkg	Smgl
264	3	2	5	3	2.1	 8.1   	 10.2   	 18.0   	 27.0   
265	4	2	6	3	2.0	 6.1   	 8.1   	 18.0   	 27.0   
266	4	2	4	3	1.8	 3.2   	 5.0   	 33.0   	 50.0   
267	4	2	1	3	1.0	 3.4   	 3.4   	 51.0   	 71.0   
268	4	2	5	3	1.1	 4.6   	 4.6   	 22.0   	 31.0   
269	4	2	3	3	1.1	 4.9   	 4.9   	 21.0   	 31.0   
270	4	2	2	3	0.5	 4.7   	 4.7   	 78.0   	 57.0   
271	4	1	1	3	1.2	 5.4   	 5.4   	 42.0   	 59.0   
272	4	1	5	3	1.5	 9.6   	 11.1   	 26.0   	 32.0   
273	4	1	3	3	0.0	 4.6   	 4.6   	 26.0   	 37.0   
274	4	1	4	3	0.5	 4.6   	 4.6   	 39.0   	 54.0   
275	4	1	2	3	1.8	 3.8   	 5.6   	 39.0   	 56.0   
276	4	1	6	3	1.5	 6.6   	 8.1   	 26.0   	 36.0   
277	4	3	1	3	0.1	 5.2   	 5.2   	 50.0   	 74.0   
278	4	3	5	3	0.2	 6.9   	 6.9   	 24.0   	 39.0   
279	4	3	6	3	0.2	 8.4   	 8.4   	 22.0   	 33.0   
280	4	3	2	3	1.6	 4.0   	 5.6   	 40.0   	 62.0   
281	4	3	4	3	0.8	 4.7   	 4.7   	 35.0   	 48.0   
282	4	3	3	3	0.9	 3.5   	 3.5   	 26.0   	 37.0   
283	4	4	6	3	0.8	 7.4   	 7.4   	 21.0   	 30.0   
284	4	4	4	3	0.8	 4.6   	 4.6   	 32.0   	 43.0   
285	4	4	3	3	1.0	 5.0   	 5.0   	 24.0   	 33.0   
286	4	4	1	3	1.1	 4.9   	 4.9   	 42.0   	 60.0   
287	4	4	2	3	2.6	 4.8   	 7.4   	 36.0   	 54.0   
288	4	4	5	3	1.2	 10.0   	 10.0   	 20.0   	 30.0   
289	1	4	2	4	1.0	 7.0   	 7.0   	 41.0   	 57.0   
290	1	4	1	4	0.9	 8.1   	 8.1   	 36.0   	 53.0   
291	1	4	5	4	1.9	 10.0   	 11.9   	 25.0   	 37.0   
292	1	4	3	4	0.7	 7.2   	 7.2   	 29.0   	 44.0   
293	1	4	4	4	3.0	 2.9   	 5.9   	 26.0   	 41.0   
294	1	4	6	4	1.4	 8.6   	 8.6   	 43.0   	 65.0   
295	1	1	4	4	3.4	 8.8   	 12.2   	 90.0   	 130.0   
296	1	1	1	4	1.1	 7.3   	 7.3   	 22.0   	 33.0   
297	1	1	2	4	2.9	 9.0   	 11.9   	 29.0   	 42.0   
298	1	1	3	4	2.0	 7.0   	 9.0   	 26.0   	 39.0   
299	1	1	5	4	2.7	 9.3   	 12.0   	 18.0   	 28.0   
300	1	1	6	4	1.4	 9.7   	 9.7   	 15.0   	 23.0   
301	1	3	5	4	1.7	 11.0   	 12.7   	 14.0   	 21.0   
302	1	3	1	4	1.6	 12.0   	 13.6   	 25.0   	 40.0   
303	1	3	4	4	6.6	 9.0   	 15.6   	 21.0   	 32.0   
304	1	3	3	4	2.1	 8.9   	 11.0   	 16.0   	 25.0   
305	1	3	6	4	1.9	 11.0   	 12.9   	 15.0   	 23.0   
306	1	3	2	4	8.1	 9.4   	 17.5   	 21.0   	 31.0   
307	1	2	4	4	1.5	 10.0   	 11.5   	 28.0   	 42.0   
308	1	2	2	4	3.6	 5.7   	 9.3   	 39.0   	 57.0   
309	1	2	1	4	1.4	 6.6   	 6.6   	 27.0   	 42.0   
310	1	2	3	4	1.4	 6.8   	 6.8   	 27.0   	 40.0   
311	1	2	6	4	1.8	 12.0   	 13.8   	 16.0   	 25.0   
312	1	2	5	4	1.4	 12.0   	 12.0   	 14.0   	 23.0   
313	2	3	5	4	1.7	 9.8   	 11.5   	 18.0   	 24.0   
314	2	3	1	4	1.3	 12.0   	 12.0   	 25.0   	 35.0   
315	2	3	3	4	3.7	 10.0   	 13.7   	 19.0   	 28.0   
316	2	3	6	4	18.0	 13.0   	 31.0   	 22.0   	 30.0   
317	2	3	2	4	0.9	 5.5   	 5.5   	 53.0   	 74.0   
318	2	3	4	4	1.3	 9.5   	 9.5   	 26.0   	 34.0   
319	2	4	1	4	3.1	 9.7   	 12.8   	 29.0   	 46.0   
320	2	4	5	4	0.9	 9.9   	 9.9   	 21.0   	 33.0   
321	2	4	6	4	9.5	 13.0   	 22.5   	 19.0   	 30.0   
322	2	4	4	4	1.3	 6.5   	 6.5   	 56.0   	 84.0   
323	2	4	2	4	1.6	 5.5   	 7.1   	 33.0   	 52.0   
324	2	4	3	4	2.0	 5.1   	 7.1   	 28.0   	 42.0   
325	2	2	4	4	1.4	 9.9   	 9.9   	 45.0   	 62.0   
326	2	2	1	4	1.9	 12.0   	 13.9   	 21.0   	 28.0   
327	2	2	5	4	1.2	 11.0   	 11.0   	 15.0   	 22.0   
328	2	2	2	4	1.3	 8.5   	 8.5   	 22.0   	 32.0   
329	2	2	3	4	1.3	 11.0   	 11.0   	 17.0   	 24.0   
330	2	2	6	4	1.2	 12.0   	 12.0   	 15.0   	 20.0   
331	2	1	5	4	2.0	 8.0   	 10.0   	 16.0   	 22.0   
332	2	1	4	4	3.2	 10.0   	 13.2   	 18.0   	 27.0   
333	2	1	6	4	1.4	 7.1   	 7.1   	 18.0   	 26.0   
334	2	1	2	4	1.0	 4.4   	 4.4   	 25.0   	 35.0   
335	2	1	3	4	1.2	 8.3   	 8.3   	 16.0   	 24.0   
336	2	1	1	4	1.2	 9.3   	 9.3   	 20.0   	 28.0   
337	3	4	4	4	0.7	 7.7   	 7.7   	 26.0   	 37.0   
338	3	4	3	4	2.1	 3.9   	 6.0   	 26.0   	 36.0   
339	3	4	6	4	1.1	 10.0   	 10.0   	 15.0   	 21.0   
340	3	4	1	4	0.9	 10.0   	 10.0   	 26.0   	 38.0   
341	3	4	2	4	8.2	 8.9   	 17.1   	 24.0   	 33.0   
342	3	4	5	4	2.9	 13.0   	 15.9   	 15.0   	 21.0   
343	3	3	5	4	2.0	 11.0   	 13.0   	 17.0   	 24.0   
344	3	3	6	4	1.0	 12.0   	 12.0   	 17.0   	 24.0   
345	3	3	4	4	1.2	 11.0   	 11.0   	 24.0   	 35.0   
346	3	3	1	4	2.2	 11.0   	 13.2   	 23.0   	 32.0   
347	3	3	3	4	1.0	 6.4   	 6.4   	 21.0   	 31.0   
348	3	3	2	4	1.8	 9.7   	 11.5   	 24.0   	 33.0   
349	3	1	4	4	4.2	 7.1   	 11.3   	 30.0   	 43.0   
350	3	1	2	4	0.8	 5.6   	 5.6   	 26.0   	 37.0   
351	3	1	5	4	0.9	 7.6   	 7.6   	 20.0   	 29.0   
352	3	1	3	4	1.4	 8.1   	 8.1   	 24.0   	 34.0   
353	3	1	6	4	2.3	 8.3   	 10.6   	 20.0   	 25.0   
354	3	1	1	4	2.3	 12.0   	 14.3   	 30.0   	 41.0   
355	3	2	4	4	3.0	 13.0   	 16.0   	 17.0   	 24.0   
356	3	2	3	4	5.2	 16.0   	 21.2   	 15.0   	 21.0   
357	3	2	2	4	3.0	 9.8   	 12.8   	 24.0   	 35.0   
358	3	2	6	4	5.7	 11.0   	 16.7   	 13.0   	 20.0   
359	3	2	1	4	3.0	 10.0   	 13.0   	 18.0   	 25.0   
360	3	2	5	4	2.1	 9.1   	 11.2   	 13.0   	 18.0   
361	4	2	6	4	2.6	 9.8   	 12.4   	 15.0   	 19.0   
362	4	2	4	4	2.6	 9.6   	 12.2   	 20.0   	 27.0   
363	4	2	1	4	2.4	 6.5   	 8.9   	 24.0   	 34.0   
